name,manufacturer,price,salt_name,strength
Forsteo,Eli Lilly,"Rs 47,906",Teriparatide,20mcg
Famila,Zafa,Rs 163,Medroxyprogesterone Acetate,150mg
Fantasia,Wilshire,Rs 175,Pioglitazone,30mg
Fantasia,Wilshire,Rs 112,Pioglitazone,45mg
Flexodin,Remington,Rs 26,Orphenadrine,35mg
Fernor,Amarant,Rs 121,Tizanidine,2mg
Fernor,Amarant,Rs 256,Tizanidine,6mg
Febhil,Hilton,Rs 160,Febuxostat,40mg
Febhil,Hilton,Rs 238,Febuxostat,80mg
Febugout,Hirani's Pharma,Rs 360,Febuxostat,40mg
Febux,CCL,Rs 175,Febuxostat,40mg
Febux,CCL,Rs 620,Febuxostat,80mg
Fosamax,OBS,"Rs 2,384",Alendronate,70mg
Fasteso,Pharm Evo,Rs 115,Esomeperazole,20mg
Fasteso,Pharm Evo,Rs 160,Esomeperazole,40mg
Fortecin,Searle,Rs 164,Amoxicillin,875mg|125mg
Fortecin Ds,Searle,Rs 183,Amoxicillin,250mg|62mg
Fortecin,Searle,Rs 115,Amoxicillin,250mg|125mg
Fortecin,Searle,Rs 165,Amoxicillin,500mg|125mg
Florozil,Sante,Rs 187,cinnarizine,0.1%
Femicon,Remington,Rs 141,cinnarizine,0.1%
Fortecin,Searle,Rs 233,Amoxicillin,1gm
Fortecin,Searle,Rs 155,Amoxicillin,1.2gm
Fortecin,Searle,Rs 79,Amoxicillin,500mg
Fortecin,Searle,Rs 117,Amoxicillin,156.25mg
Fortecin,Searle,Rs 150,Amoxicillin,312.5mg
Fortecin,Searle,Rs 115,Amoxicillin,375mg
Fortecin,Searle,Rs 176,Amoxicillin,625mg
Fegix,Crystolite Pharma,Rs 212,Fexofenadine,180mg
Fexet,Getz Pharma,Rs 298,Fexofenadine,120 mg
Fexet,Getz Pharma,Rs 348,Fexofenadine,180 mg
Fexet,Getz Pharma,Rs 173,Fexofenadine,60 mg
Fexo,Hilton,Rs 123,Fexofenadine,120mg
Fexo,Hilton,Rs 293,Fexofenadine,180mg
Fexo,Hilton,Rs 143,Fexofenadine,60mg
Fexofast,Platinum,Rs 480,Fexofenadine,120mg
Fexofast,Platinum,Rs 320,Fexofenadine,180mg
Fexofast,Platinum,Rs 150,Fexofenadine,60mg
Fenap,Valor,Rs 280,Nepafenac,0.1
Freac,Wilshire,Rs 335,Isotretinoin Topical,20mg
Filgen,Ferozsons,"Rs 3,900",Filgrastim,300mcg
Filgras,Pharmadic,"Rs 3,300",Filgrastim,300mcg
Flucon,Bryon,Rs 140,Fluconazole,150mg
Flucon,Bryon,Rs 560,Fluconazole,50mg
Flucon,Bryon,Rs 309,Fluconazole,50mg
Flucoval,Valor,Rs 168,Fluconazole,150mg
Flucoval,Valor,Rs 210,Fluconazole,50mg
Fluderm,Nabi Qasim,Rs 205,Fluconazole,150mg
Fluderm,Nabi Qasim,Rs 699,Fluconazole,50mg
Fumac,Crystolite Pharma,Rs 768,Fluconazole,150mg
Fungix,Platinum,Rs 235,Fluconazole,150mg
Fungone,Sami,Rs 210,Fluconazole,150mg
Fludakebir,Oncogene,"Rs 9,280",Fludarabine Phosphate,50mg
Flurwood,Wood Wards,Rs 175,Flurbiprofen,100mg
Froben,Abbott Laboratories,Rs 108,Flurbiprofen,100mg
Flutinate,Valor,Rs 116,Fluticasone Propionate,0.0005
Flixotide,GlaxoSmithKline,Rs 593,Fluticasone Propionate,125 mcg
Flixotide,GlaxoSmithKline,Rs 963,Fluticasone Propionate,250 mcg
Focin,Tabletros,Rs 253,Fosfomycin,500mg
Focin,Tabletros,Rs 210,Fosfomycin,250mg
Focin,Tabletros,Rs 329,Fosfomycin,500mg
Fosomin,CCL,Rs 169,Fosfomycin,500mg
Fosomin,CCL,Rs 161,Fosfomycin,250mg
Floralac,Platinum,Rs 264,Lactulose,3.35gm|5ml
Floxer,Efroze,Rs 185,Levofloxacin,500mg
Floxolev,Platinum,Rs 200,Levofloxacin,250mg
Floxolev,Platinum,Rs 310,Levofloxacin,500mg
Fuvelox,Martin Dow,Rs 220,Levofloxacin,250mg
Fuvelox,Martin Dow,Rs 340,Levofloxacin,500mg
Fortius,High-Q,Rs 296,Rosuvastatin calcium,10mg
faverin 50 mg,Abbott Laboratories,Rs 392,Fluvoxamine maleate,
Febrol Xtra,Barrett,Rs 33,Paracetamol,500mg
Febrol,Barrett,Rs 32,Paracetamol,500mg
Fitamol,Icon,Rs 665,Paracetamol,500mg
Fitamol,Icon,Rs 18,Paracetamol,500mg
Fitamol,Icon,Rs 350,Paracetamol,500mg
Fixitil,Tabroos,Rs 416,Cefixime,400mg
Fixitil,Tabroos,Rs 230,Cefixime,100mg
Fixitil,Tabroos,Rs 295,Cefixime,200mg
Fixitil,Tabroos,Rs 388,Cefixime,200mg
Fixval,GlaxoSmithKline,Rs 449,Cefixime,400mg
Fixval,GlaxoSmithKline,Rs 270,Cefixime,100mg|5ml
Fixval,GlaxoSmithKline,Rs 378,Cefixime,200mg|5ml
Flexeril,Global-Vision,Rs 150,Cefixime,100mg
Famopsin,High-Q,Rs 100,Famotidine,20mg
Fitem,Searle,Rs 329,Ceftazidime,1gm
Fitem,Searle,Rs 123,Ceftazidime,250mg
Fitem,Searle,Rs 170,Ceftazidime,500mg
Fortazim,Bosch,Rs 315,Ceftazidime,1gm
Fortazim,Bosch,Rs 170,Ceftazidime,500mg
Fortum,GlaxoSmithKline,Rs 797,Ceftazidime,1gm
Fortum,GlaxoSmithKline,Rs 170,Ceftazidime,250mg
Fortexone,ICI Pakistan Limited,Rs 368,Ceftriaxone,1gm
Freehale,High-Q,Rs 128,Montelukast,5mg
Fusac H Cream 15 gm`,Sante,Rs 378,"Hydrocortisone and Fusidic Acid, topical",
Foracort,Highnoon,Rs 784,Budesonide,200mg
Ferosoft,Hilton,Rs 162,Iron Polymaltose,
Fastaid Plus,Platinum,Rs 96,Diclofenac potassium,50mg
Fastaid,Platinum,Rs 93,Diclofenac Sodium,50mg
Fastaid,Platinum,Rs 105,Diclofenac Sodium,75mg
Fastaid-R,Platinum,Rs 89,Diclofenac Sodium,50mg
Flamex,Werick,Rs 58,Diclofenac Sodium,100mg
Flamex,Werick,Rs 58,Diclofenac Sodium,50mg
Froben,Abbott Laboratories,Rs 106,Flurbiprofen,50mg
Flexin,Abbott Laboratories,Rs 122,Naproxen,250mg
Flexin,Abbott Laboratories,Rs 219,Naproxen,500mg
Feldene,Pfizer,Rs 183,Piroxicam,20mg
Feldene,Pfizer,Rs 183,Piroxicam,10mg
Felbex,Martin Dow,Rs 210,Piroxicam-beta-cyclodextrin,20mg
Fusil Cream 15 gram,Tabroos,Rs 230,"Fusidic Acid, topical",2%
Freehale,High-Q,Rs 27,Montelukast,4mg
Feldene,Pfizer,Rs 254,Piroxicam,
Fitzloc 250mg,Aspin Pharma,Rs 335,Levetiracetam,
Fitzloc  500mg,Aspin Pharma,Rs 580,Levetiracetam,
Fitzloc  750mg,Aspin Pharma,Rs 580,Levetiracetam,
Ferinject,OBS,"Rs 9,000",Ferric Carboxymaltose Complex,
Fefan DS 300+5mg,Amson,Rs 88,Folic Acid,
Foro B12,Amson,Rs 469,,
Foro B12,Amson,Rs 299,,
Flexion Moisturizing Lotion,Maxitech Pharma,"Rs 1,395",,
Fosedic,Maxitech Pharma,Rs 279,,
Fosedic,Maxitech Pharma,Rs 195,,
Fosedic-B,Maxitech Pharma,Rs 240,,
Fosedic-H,Maxitech Pharma,Rs 260,,
Faverin 100mg,Abbott Laboratories,Rs 650,Fluvastatin,
Ferfer Orange,Pharm Evo,Rs 27,Iron with Multiple Vitamins,
Flytro Cream tropical,Tabroos,Rs 160,"Hydroquinone, Tretinoin, and Fluocinolone Acetonid",
Fusil - HC,Tabroos,Rs 270,"Hydrocortisone and Fusidic Acid, topical",
Fortius,High-Q,Rs 412,,
Fusac-H 5gm,Sante,Rs 135,Fusidic Acid,20 mg
Floaid,Abbott Laboratories,Rs 202,Montelukast,10 mg
Fusiderm,Martin Dow,"Rs 1,550",,
Febrol fast,Barrett,Rs 207,Tramadol,37.5|325 mg
Flocard,Nabi Qasim,Rs 223,Nicronadil,10mg
Flocard,Nabi Qasim,Rs 250,Nicronadil,20mg
Faast,CCL,Rs 436,Omeprazole,40mg
Fibrocol - Orange,Biogenics,Rs 43,Ispaghula Husk,
Fibrocol - Strawberry,Biogenics,Rs 390,Ispaghula Husk,
Finset,Maxitech Pharma,Rs 108,,
Fastaid SR,Platinum,Rs 182,,
Fortide MDI Hfa Inh,Getz Pharma,Rs 952,Formoterol,6 mcg
Formiget,Getz Pharma,Rs 130,,
Fortius,High-Q,Rs 186,Rosuvastatin calcium,5mg
Formiget,Getz Pharma,Rs 156,Budesonide,400 mcg+12mcg
Foreva plus,Matrix,Rs 600,,
Fermalac Vaginal,Matrix,Rs 990,,
Foxamine 200mg,CCL,Rs 359,Rifaximin,200mg
Ferris,Hudson Pharma's,Rs 470,Iron Sucrose,100mg
Fersip,Scotman,Rs 140,Iron Polymaltose,
Fersip,Scotman,Rs 115,Iron Polymaltose,100mg
Feldene,Pfizer,Rs 219,Piroxicam,20mg
Ferrocite 500,Martindale Health Care,Rs 850,,
FC Forte,Medics,Rs 364,,
Feldene,Pfizer,Rs 521,Piroxicam,10mg
Famicol,Alaska Spring Pharmaceuticals,"Rs 1,302",,
Focin Ultra,Tabroos,Rs 599,Fosfomycin Trometamol,3gm
Fastum,Pharmatec,Rs 396,Ketoprofen,
FPR,A.R. Nutraceutical Pharma,Rs 305,,
FPR,A.R. Nutraceutical Pharma,Rs 325,,
Famot,Shaigan,Rs 285,Famotidine,40 mg
Foxamine,CCL,Rs 924,Rifaximin,550 mg
Foster,Chiesi,"Rs 1,840",Beclomethasone,200
Feveral,Surge,Rs 16,Paracetamol BP/Lidocaine HCI BP,300 mg
Favipra,CCL,Rs 600,Favipiravir,200 mg
Flagyl,Sanofi,Rs 137,Metronidazole,200 mg
Ferosoft-S,Hilton,Rs 396,Iron Sucrose,
Ferosoft,Hilton,Rs 249,Iron Polymaltose,
Floxin,Hilton,Rs 183,"Norfloxacin, Oral",400 mg
Folli Care,RAS Health Care,Rs 100,L-Methylfolate,400 mcg
FCM,Genix,"Rs 3,490",Ferric Carboxymaltose,500 mg
Fusac Topical,Sante,Rs 351,"Fusidic Acid, topical",
Fusicare,Serving Health Pakistan,Rs 216,"Fusidic Acid, topical",2 %
Fusicare-H,Serving Health Pakistan,Rs 392,,
Faizol,Serving Health Pakistan,Rs 135,,
Febuxin,AGP,Rs 150,Febuxostat,40 mg
Febuxin,AGP,Rs 225,Febuxostat,80 mg
Floxigem,AGP,Rs 625,Gemifloxacin,320 mg
Febugout,Hirani's Pharma,Rs 308,Febuxostat,80 mg
Ganaton OD,Abbott Laboratories,Rs 550,Itopride,150mg
Gaviscon,Reckitt,Rs 199,Alginate Compound,
Gempid,Atco,Rs 151,Gemfibrozil,600mg
Ganaton 50mg,Abbott Laboratories,Rs 332,Itopride,50mg
Genesis 1mg,Ferozsons,Rs 117,Finasteride,
Gaviscon Advance,Reckitt,Rs 224,Alginate Compound,
Glycerine 150gm,oval pharma,Rs 258,,
Gen-M,Genix,Rs 183,Artemether/Lumafantrine,15mg
Gen-M,Genix,Rs 470,Artemether/Lumafantrine,40mg
Gen-M,Genix,Rs 587,Artemether/Lumafantrine,80mg
Genurin Semplice 200mg,Pacific Pharma,Rs 283,Flavoxate,
Gonadil-F,Getz Pharma,Rs 308,Tribulus terrestris,300 mg
Gentle Iron Formula,The Vitamin Company,Rs 650,,
Gutcare,Searle,Rs 66,,
Galza-Met,CCL,Rs 273,Metformin,50mg
Gvia-M,Genix,Rs 245,Metformin,50mg
Glucobay,Bayer,Rs 159,Acarbose,100mg
Glicon,Efroze,Rs 59,Glibenclamide,5mg
Glimet,CCL,Rs 49,Glibenclamide,2.5mg
Glimet,CCL,Rs 56,Glibenclamide,5mg
Glucomet,Pharmatec,Rs 51,Glibenclamide,2.5mg
Glucomet,Pharmatec,Rs 57,Glibenclamide,5mg
Glucovance,Martin Dow,Rs 115,Glibenclamide,2.5mg
Glucovance,Martin Dow,Rs 85,Glibenclamide,5mg
Glemex,Schazoo Pharmaceuticals,Rs 88,Glimepiride,1mg
Glemex,Schazoo Pharmaceuticals,Rs 200,Glimepiride,4mg
Glio,Macter,Rs 82,Glimepiride,1mg
Glio,Macter,Rs 125,Glimepiride,2mg
Glio,Macter,Rs 166,Glimepiride,3mg
Glio,Macter,Rs 270,Glimepiride,4mg
Glioptim,Martin Dow,Rs 97,Glimepiride,2mg
Glioptim,Martin Dow,Rs 170,Glimepiride,3mg
Glioptim,Martin Dow,Rs 213,Glimepiride,4mg
Gluconorm,AGP,Rs 88,Glimepiride,1mg
Gluconorm,AGP,Rs 133,Glimepiride,2mg
Gluconorm,AGP,Rs 173,Glimepiride,3mg
Gluconorm,AGP,Rs 230,Glimepiride,4mg
Glyper,Maple,Rs 68,Glimepiride,3mg
Glyper,Maple,Rs 90,Glimepiride,4mg
Glyset,Wilshire,Rs 70,Glimepiride,1mg
Glyset,Wilshire,Rs 105,Glimepiride,2mg
Glyset,Wilshire,Rs 150,Glimepiride,3mg
Glyset,Wilshire,Rs 230,Glimepiride,4mg
Getformin,Getz Pharma,Rs 120,Glimepiride,1 mg
Getformin,Getz Pharma,Rs 173,Glimepiride,2 mg
Gluconormet,AGP,Rs 92,Glimepiride,1mg
Gluconormet,AGP,Rs 138,Glimepiride,2mg
Glucophage,Martin Dow,Rs 37,Metformin,500mg
Glio-P,Macter,Rs 289,Pioglitazone,15mg
Glio-P,Macter,Rs 418,Pioglitazone,30mg
Gaba,Nabi Qasim,Rs 76,Gabapentin,100mg
Gaba,Nabi Qasim,Rs 222,Gabapentin,300mg
Gabafix,S.J. & G. Fazul Ellahie,Rs 60,Gabapentin,100mg
Gabafix,S.J. & G. Fazul Ellahie,Rs 180,Gabapentin,300mg
Gabafix,S.J. & G. Fazul Ellahie,Rs 300,Gabapentin,600mg
Gabaplus,Platinum,Rs 266,Gabapentin,300mg
Gabatin,Zaka Healthcare,Rs 120,Gabapentin,100mg
Gabatin,Zaka Healthcare,Rs 189,Gabapentin,300mg
Gabix,Getz Pharma,Rs 319,Gabapentin,300 mg
Gaboz,Glitz,Rs 170,Gabapentin,300mg
Gepent,Amarant,Rs 266,Gabapentin,300mg
Gepent,Amarant,Rs 230,Gabapentin,400mg
Gabica,Getz Pharma,Rs 275,Pregabalin.,100 mg
Gabica,Getz Pharma,Rs 338,Pregabalin.,150 mg
Gabica,Getz Pharma,Rs 235,Pregabalin.,50 mg
Gabica,Getz Pharma,Rs 248,Pregabalin.,75 mg
Gablin,CCL,Rs 265,Pregabalin.,100mg
Gablin,CCL,Rs 304,Pregabalin.,150mg
Gablin,CCL,Rs 173,Pregabalin.,25mg
Gablin,CCL,Rs 619,Pregabalin.,300mg
Gablin,CCL,Rs 194,Pregabalin.,50mg
Gablin,CCL,Rs 243,Pregabalin.,75mg
Gynacin,Valor,Rs 350,Clindamycin,
Gynosafe,Bryon,Rs 62,Clotrimazole,100mg
Gynosafe,Bryon,Rs 110,Clotrimazole,500mg
Gynosporin,Nabi Qasim,Rs 146,Clotrimazole,2%
Gynosporin,Nabi Qasim,Rs 114,Clotrimazole,500mg
Gyno-Daktarin V-Cream,Aspin Pharma,Rs 234,Miconazole,
Glandin E-2,Nabi Qasim,Rs 425,Dinoprostone,2mg
Glandin E-2,Nabi Qasim,Rs 625,Dinoprostone,3mg
Gooday,Wilson's,Rs 105,Irbesartan,75mg
Gouric,Pharm Evo,Rs 275,Febuxostat,40mg
Gouric,Pharm Evo,Rs 483,Febuxostat,80mg
Gerepo,Titlis Pharma,Rs 650,Epoetin Alfa,2000IU
Gerepo,Titlis Pharma,"Rs 1,150",Epoetin Alfa,4000IU
Gerdpill,Platinum,Rs 104,Esomeperazole,20mg
Gerdpill,Platinum,Rs 173,Esomeperazole,40mg
Gocid,Wilson's,Rs 135,Esomeperazole,40mg
Gravinate,Searle,Rs 17,Dimehydrinate,50mg
Gravinate,Searle,Rs 19,Dimehydrinate,50mg
Genart,Genix,Rs 30,Artemether,20mg
Genart,Genix,Rs 50,Artemether,40mg
Genart,Genix,Rs 125,Artemether,80mg
Gen-M,Genix,Rs 330,Artesunate,120mg
Gen-M,Genix,Rs 133,Artesunate,30mg
Gen-M,Genix,Rs 207,Artesunate,60mg
Gallet,Mass-PH Health,Rs 298,Adapalene,0.001
Grasil,Sami,Rs 128,Amikacin,100mg
Grasil,Sami,Rs 35,Amikacin,25mg
Grasil,Sami,Rs 195,Amikacin,250mg
Grasil,Sami,Rs 305,Amikacin,500mg
Grastin,CCL,"Rs 3,300",Filgrastim,300mcg
Gen-Levo,Brookes,Rs 150,Levofloxacin,500mg
Gen-Levo,Brookes,Rs 150,Levofloxacin,500mg
Glit,S.J. & G. Fazul Ellahie,Rs 325,Levofloxacin,500mg
Glit,S.J. & G. Fazul Ellahie,Rs 220,Levofloxacin,250mg
Glit,S.J. & G. Fazul Ellahie,Rs 350,Levofloxacin,500mg
Glusit 50 mg,Scilife,Rs 375,Sitagliptin,
Getofin,Getz Pharma,Rs 395,Ceftriaxone,1 gm
Getofin,Getz Pharma,Rs 214,Ceftriaxone,250 mg
Galvecta Plus 50 mg/ 850 mg,Pharm Evo,Rs 265,Metformin,50mg
Gvia-M,Genix,Rs 252,Metformin,50mg
Genoxen,Genix,Rs 75,Naproxen,500mg
Gia,Hirani's Pharma,Rs 143,Naproxen,500mg
Glucophage XR,Martin Dow,Rs 124,Metformin,750mg
Gravibinan 1ml,Bayer,Rs 239,Hydroxyprogesterone Caproate and Estradiol Valerat,
Gravibinan 2ml,Bayer,Rs 601,Hydroxyprogesterone Caproate and Estradiol Valerat,
Gpride,Sami,Rs 380,,
Gentic 160mg,Bosch,Rs 283,Gentamicin,
Gentic 80mg,Bosch,Rs 181,,
Gvia-M,Genix,Rs 250,Metformin,50mg
Galvecta Plus 50/1000mg,Pharm Evo,Rs 238,Metformin,50mg
Grat,Genix,Rs 980,Gemifloxacin,320mg
Gvia,Genix,Rs 370,,
Galza-Met,CCL,Rs 273,Metformin,50mg
Galza-Met,CCL,Rs 273,Metformin,50mg
Gvia,Genix,Rs 590,Sitagliptin,100mg
Gebon Plus,Genix,Rs 779,,
Gen-M,Genix,Rs 276,Artemether/Lumafantrine,20mg
G-Cal Vitamin D3,Amarant,"Rs 1,440",Vitamin D3,"200,000IU"
Galvecta 50mg,Pharm Evo,Rs 293,,
Glusimet 50mg/500mg,Scilife,Rs 224,Metformin,
Glantrim Ophthalmic 5ml,Atco,"Rs 1,150",,
Gpride-MSR 1mg/500mg,Sami,Rs 85,Glimepiride,
Gabolest,Aspin Pharma,Rs 380,Pregabalin,100 mg
Gabolest,Aspin Pharma,Rs 360,Pregabalin,150 mg
Gabolest,Aspin Pharma,Rs 504,Pregabalin,300 mg
Gabolest,Aspin Pharma,Rs 126,Pregabalin,25 mg
Gabolest,Aspin Pharma,Rs 299,Pregabalin,50 mg
Gabolest,Aspin Pharma,Rs 355,Pregabalin,75 mg
Gneb,Genix,Rs 280,Nebivolol HCl,5mg
Gneb,Genix,Rs 350,,
Galvecta Plus,Pharm Evo,Rs 225,Metformin,50mg
Grip,Scotman,Rs 230,Escitalopram,10mg
Glyzia,AGP,Rs 430,Sitagliptin,50mg
Gebon,Genix,"Rs 1,440",Glucosamine,
Gpride,Sami,Rs 304,Glimepiride,2mg
Glinext,Nexpharm,Rs 353,Gliclazide,30mg
Gneb,Genix,Rs 168,Nebivolol HCl,2.5mg
Glinext,Next Pharmaceutical,Rs 293,Gliclazide,60mg
Gastron,A.R. Nutraceutical Pharma,Rs 190,,
Glio-P,Macter,Rs 492,Glimepiride,4 mg
Gonal F,Martin Dow Marker,"Rs 3,356",Follitropin Alfa,75 IU 5.5 mcg
Gabilis,Titlis Pharma,Rs 177,Pregabalin,100 mg
Gabilis,Titlis Pharma,Rs 193,Pregabalin,150 mg
Gabilis,Titlis Pharma,Rs 141,Pregabalin,75 mg
Gynophilus,Titlis Pharma,"Rs 1,190","Terbinafine,Oral",
Gerepo,Titlis Pharma,"Rs 2,000",Epoetin Alfa,4000 IU
Gerepo,Titlis Pharma,"Rs 1,084",Epoetin Alfa,2000 IU
Gen-M,Genix Pharma,Rs 365,Artemether,15 mg
Glucophage-XR,Martin Dow,Rs 72,Metformin,500 mg
Guja Sit,CCL,Rs 345,Ertugliflozin,15 mg
Guja Sit,CCL,Rs 589,Ertugliflozin,5 mg
Glovar,Hirani's Pharma,Rs 240,Pantoprazole,40 mg
Glyzia,AGP,Rs 567,Sitagliptin,100 mg
Glyziamet,AGP,Rs 385,Metformin,1000 mg
Glyziamet,AGP,Rs 385,Metformin,500 mg
Glyzia Met,AGP,Rs 243,Metformin,1000 mg
Glyzia Met,AGP,Rs 243,Metformin,500 mg
Glyrate-SR,Maple,Rs 89,Glyceryl Trinitrate,2.6 mg
Getryl,Getz,Rs 230,Glimepiride,3 mg
Getryl,Getz Pharma,Rs 204,Glimepiride,2 mg
Getryl,Getz,Rs 371,Glimepiride,4 mg
Gpride,Sami,Rs 166,Glimepiride,1 mg
Glyrate SR,Maple,Rs 105,Glyceryl Trinitrate,6.4 mg
Glusimet,Scilife,Rs 224,,
Gla Prelox,Galaxy,"Rs 1,533",,
Glowin,Avant,"Rs 1,500",,
Getryl,Getz Pharma,Rs 105,Glimepiride,1 mg
GENTICYN ( Gentamicin ) 10 G CREAM,Ray Pharma,Rs 33,Gentamicin,
Gynaecosid,Efroze,Rs 100,Methyloestradiol,0.3mg
Glukil,swiss pharma,Rs 48,Glibenclamide,5mg
Glimet,CCL,Rs 23,Glibenclamide,1.25mg
Glucovance,Martin Dow Marker,Rs 46,Glibenclamide,1.25mg
Glioptim,Martin Dow,Rs 52,Glimepiride,1mg
Glyper,Maple,Rs 25,Glimepiride,1mg
Glyper,Maple,Rs 45,Glimepiride,2mg
Glucophage,Martin Dow,Rs 21,Metformin,250mg
Gabaplus,Platinum,Rs 89,Gabapentin,100mg
Gabix,Getz Pharma,Rs 120,Gabapentin,100 mg
Gaboz,Glitz,Rs 61,Gabapentin,100mg
Gepent,Amarant,Rs 69,Gabapentin,100mg
Gynosporin,Nabi Qasim,Rs 80,Clotrimazole,10%
Genticyn HC Eye / Ear,Ray Pharma,Rs 54,Hydrocortisone,1%
Gravinate 60ml,Searle,Rs 68,Dimehydrinate,12.5mg
Gixer,Barrett,Rs 55,Cetirizine,1mg|ml
Gixer,Barrett,Rs 88,Cetirizine,10mg
Genticyn Topical Discontinue,Ray Pharma,Rs 33,Gentamicin,0.1%
Gen-Levo,Brookes,Rs 94,Levofloxacin,250mg
Gentic 10mg,Bosch,Rs 34,Gentamicin,
Indrop D.,Neutro,Rs 284,Cholecalciferol,
Irovant,Avant,Rs 125,,
Iberogast Solution 20ml,Bayer,Rs 325,,
Ipride 50mg,Horizon Pharma,Rs 225,Itopride,50 mg
Iberet Folic 500 Gradumet,Abbott Laboratories,Rs 236,Iron with Multiple Vitamins,
Imidol,Siza International (Pvt.) Ltd,Rs 32,Imipramine,25mg
Ivermite,Atco,Rs 483,Ivermectin,6mg
IVF-M,Galaxy,"Rs 3,847",Menotropin,75IU
IVF-C,Galaxy,"Rs 4,941","Chorionic Gonadotropic, Human",HCG
Inosita,Pharm Evo,Rs 323,Sitagliptin,100mg
Inosita,Pharm Evo,Rs 200,Sitagliptin,25mg
Inosita,Pharm Evo,Rs 234,Sitagliptin,50mg
Inosita Plus,Pharm Evo,Rs 239,Sitagliptin,50mg
Inosita Plus,Pharm Evo,Rs 233,Sitagliptin,50mg
Imazole,Himont,Rs 169,Clotrimazole,100mg
Imazole,Himont,Rs 145,Clotrimazole,500mg
Irecon,Barrett,Rs 325,Irbesartan,150mg
Irecon,Barrett,Rs 410,Irbesartan,300mg
Irecon,Barrett,Rs 158,Irbesartan,75mg
Irecon-H,Barrett,Rs 310,Irbesartan,150mg
Irecon-H,Barrett,Rs 460,Irbesartan,300mg
Ibnate,Genix,"Rs 1,800",Losartan Potassium,1mg 3mg
Indazole,Indus Pharma,Rs 200,Esomeprazole,20 mg
Indazole,Indus Pharma,Rs 400,Esomeperazole,40mg
Ipneb,Atco,Rs 168,Ipratropium Bromide,250mg
Isozam,Leo-Zam Zam,Rs 501,Isotretinoin Topical,10mg
Isozam,Leo-Zam Zam,Rs 417,Isotretinoin Topical,20mg
Isotin,Shaigan,Rs 169,Isotretinoin Oral,0.05%
Icon,Ferozsons,Rs 394,Itraconazole,100mg
Itraderm,Derma Techno,Rs 299,Itraconazole,100mg
Itraneu,Neutro,Rs 300,Itraconazole,100mg
Itrazox,Varioline,Rs 400,Itraconazole,100mg
Itrofit,Bryon,Rs 375,Itraconazole,100mg
Inhibitol,Highnoon,Rs 156,Lansoprazole,30mg
Insuget 70/30,Getz Pharma,Rs 840,Soluble Insulin,100 IU
Insuget Regular,Getz Pharma,Rs 900,Insulin Regular,100 IU
Insulatard HM,Novo Nordisk,Rs 916,Insulin NPH,100IU
ICEF,ICI Pakistan Limited,Rs 217,Cefixime,200mg
ICEF,ICI Pakistan Limited,Rs 448,Cefixime,400mg
ICEF,ICI Pakistan Limited,Rs 250,Cefixime,100mg
ICEF,ICI Pakistan Limited,Rs 349,Cefixime,200mg
Incetax,Brookes,Rs 200,Cefotaxime,1gm
Incetax,Brookes,Rs 125,Cefotaxime,500mg
Ivcef,Bosch,Rs 400,Cefpirome,1gm
Ivcef,Bosch,Rs 210,Cefpirome,500mg
Inocef I.V,Barrett,Rs 300,Ceftriaxone,500mg
Inocef,Barrett,Rs 575,Ceftriaxone,1gm
Inocef,Barrett,Rs 880,Ceftriaxone,2gm
Inocef,Barrett,Rs 170,Ceftriaxone,250mg
Invanz,OBS,"Rs 4,551",Ertapenem,1gm
Infexin,Martin Dow Marker,Rs 139,Cephradine,250mg
Infexin,Martin Dow Marker,Rs 315,Cephradine,500mg
Infexin,Martin Dow Marker,Rs 126,Cephradine,1gm
Infexin,Martin Dow Marker,Rs 103,Cephradine,125mg|5ml
Infexin,Martin Dow Marker,Rs 176,Cephradine,250mg|5ml
Idarac,Sanofi,Rs 41,Floctafenine,200mg
Inflamatix,Asian Continental,Rs 83,Flurbiprofen,100mg
Inflamatix,Asian Continental,Rs 250,Flurbiprofen,200mg
Inflam,Icon,Rs 92,Ibuprofen,200mg
Inflam,Icon,Rs 18,Ibuprofen,400mg
ITP 50 mg,Sami,Rs 260,,
Ironone 120ml,RG Pharma,Rs 229,Iron Polysaccharide Complex,
ITORIDE 50 mg,Amarant,Rs 226,Itopride,
Inoquin 500mg,Barrett,Rs 205,Ciprofloxacin,500mg
Ikodil 10mg,Aspin Pharma,Rs 220,Nicorandil,
Inspirol HFA,Macter,Rs 357,,
Imutec,Searle,Rs 642,,
I-Lite-Roll-On,Maxitech Pharma,Rs 900,,
Izilon 400mg,Bosch,Rs 380,"Moxifloxacin, Oral",
Izilon,Bosch,Rs 380,"Moxifloxacin, Oral",400 mg
Intig-D 250mg 60ml,Sami,Rs 190,,
ITP OD 150mg,Sami,Rs 460,Itopride,
Itaglip Plus,Sami,Rs 208,,
Introcan - W,B.Braun,Rs 121,,
Intig-D,Sami,Rs 150,,
Indokast 10mg,Indus Pharma,Rs 237,Montelukast,10mg
Itaglip Plus,Sami,Rs 212,,
Itaglip Plus,Sami,Rs 218,,
Iberet Gradumet 500,Abbott Laboratories,Rs 233,Vitamin C,
Indokast 5mg,Indus Pharma,Rs 165,Montelukast,5mg
Incobal 500 mcg,Indus Pharma,Rs 167,Mecobalamin,500mcg
Intapan,Valor,Rs 480,Nalbuphine,10mg
Isdin,Maple,Rs 31,Isosorbide Dinitrate,10 mg
